id,package,NC,A,I,D
368,org.apache.hadoop.yarn.logaggregation.filecontroller,5,0.40,0.26,0.34
369,org.apache.hadoop.yarn.nodelabels.event,5,0.00,0.75,0.25
370,org.apache.hadoop.yarn.server.nodemanager.api.protocolrecords,5,0.60,0.20,0.20
371,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime,5,0.20,0.50,0.30
372,org.apache.hadoop.yarn.server.nodemanager.containermanager.resourceplugin.fpga,5,0.20,0.62,0.18
373,org.apache.hadoop.yarn.server.resourcemanager.recovery.records,5,0.80,0.19,0.01
374,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.allocator,5,0.20,0.80,0.00
375,org.apache.hadoop.yarn.server.scheduler,5,0.00,0.16,0.84
376,org.apache.hadoop.yarn.server.security,5,0.00,0.17,0.83
377,org.apache.hadoop.yarn.server.timeline.security,5,0.20,0.42,0.38
378,org.apache.hadoop.yarn.server.timelineservice.storage.domain,5,0.00,0.71,0.29
379,org.apache.hadoop.yarn.server.utils,5,0.00,0.10,0.90
380,org.apache.hadoop.yarn.service.component.instance,5,0.00,0.11,0.89
381,org.apache.hadoop.yarn.service.containerlaunch,5,0.00,0.33,0.67
382,org.apache.hadoop.yarn.service.provider,5,0.80,0.26,0.06
383,org.apache.hadoop.yarn.service.timelineservice,5,0.00,0.50,0.50
384,org.apache.hadoop.yarn.submarine.client.cli.param,5,0.40,0.44,0.16
385,org.apache.hadoop.yarn.submarine.runtimes.common,5,0.60,0.33,0.07
386,org.apache.hadoop.yarn.util.resource,5,0.20,0.03,0.77
387,org.apache.hadoop.fs.azurebfs.contracts.services,4,0.00,0.27,0.73
388,org.apache.hadoop.fs.azurebfs.extensions,4,0.75,0.43,0.18
389,org.apache.hadoop.fs.s3a.commit.files,4,0.25,0.36,0.39
390,org.apache.hadoop.hdds.cli,4,0.25,0.17,0.58
391,org.apache.hadoop.hdds.scm.container.placement.algorithms,4,0.50,0.80,0.30
392,org.apache.hadoop.hdds.scm.container.states,4,0.00,0.67,0.33
393,org.apache.hadoop.hdds.scm.protocol,4,0.50,0.29,0.21
394,org.apache.hadoop.hdds.scm.protocolPB,4,0.50,0.33,0.17
395,org.apache.hadoop.hdds.server,4,0.50,0.30,0.20
396,org.apache.hadoop.hdfs.inotify,4,0.25,0.33,0.42
397,org.apache.hadoop.hdfs.server.datanode.web,4,0.00,0.75,0.25
398,org.apache.hadoop.hdfs.server.diskbalancer.connectors,4,0.25,0.67,0.08
399,org.apache.hadoop.hdfs.server.diskbalancer.datamodel,4,0.00,0.20,0.80
400,org.apache.hadoop.hdfs.server.federation.store.impl,4,0.00,0.80,0.20
401,org.apache.hadoop.hdfs.server.namenode.metrics,4,0.75,0.33,0.08
402,org.apache.hadoop.hdfs.server.sps,4,0.00,0.80,0.20
403,org.apache.hadoop.io.erasurecode.rawcoder.util,4,0.00,0.44,0.56
404,org.apache.hadoop.io.nativeio,4,0.00,0.11,0.89
405,org.apache.hadoop.io.serializer.avro,4,0.50,0.80,0.30
406,org.apache.hadoop.lib.servlet,4,0.50,0.57,0.07
407,org.apache.hadoop.log,4,0.00,0.60,0.40
408,org.apache.hadoop.mapred.gridmix.emulators.resourceusage,4,0.25,0.80,0.05
409,org.apache.hadoop.mapred.lib.db,4,0.25,1.00,0.25
410,org.apache.hadoop.mapreduce.v2.app.launcher,4,0.25,0.57,0.18
411,org.apache.hadoop.mapreduce.v2.app.rm.preemption,4,0.25,0.57,0.18
412,org.apache.hadoop.mapreduce.v2.jobhistory,4,0.00,0.16,0.84
413,org.apache.hadoop.mount,4,0.25,0.60,0.15
414,org.apache.hadoop.nfs,4,0.00,0.15,0.85
415,org.apache.hadoop.ozone.freon,4,0.00,1.00,0.00
416,org.apache.hadoop.ozone.s3.commontypes,4,0.00,0.00,1.00
417,org.apache.hadoop.ozone.s3.header,4,0.00,0.67,0.33
418,org.apache.hadoop.registry.client.binding,4,0.00,0.21,0.79
419,org.apache.hadoop.resourceestimator.translator.impl,4,0.00,0.67,0.33
420,org.apache.hadoop.tools.mapred.lib,4,0.00,1.00,0.00
421,org.apache.hadoop.tools.rumen.serializers,4,0.00,0.50,0.50
422,org.apache.hadoop.yarn.conf,4,0.25,0.01,0.74
423,org.apache.hadoop.yarn.server.federation.policies.exceptions,4,0.00,0.04,0.96
424,org.apache.hadoop.yarn.server.federation.store,4,1.00,0.36,0.36
425,org.apache.hadoop.yarn.server.federation.store.utils,4,0.00,0.57,0.43
426,org.apache.hadoop.yarn.server.metrics,4,0.00,0.36,0.64
427,org.apache.hadoop.yarn.server.nodemanager.containermanager.deletion.task,4,0.25,0.25,0.50
428,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.resources.numa,4,0.00,0.75,0.25
429,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.security,4,0.00,0.67,0.33
430,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.sharedcache,4,0.00,0.67,0.33
431,org.apache.hadoop.yarn.server.nodemanager.containermanager.resourceplugin,4,0.75,0.25,0.00
432,org.apache.hadoop.yarn.server.nodemanager.containermanager.runtime,4,0.25,0.21,0.54
433,org.apache.hadoop.yarn.server.nodemanager.recovery,4,0.50,0.11,0.39
434,org.apache.hadoop.yarn.server.resourcemanager.amlauncher,4,0.00,0.43,0.57
435,org.apache.hadoop.yarn.server.resourcemanager.monitor.invariants,4,0.25,1.00,0.25
436,org.apache.hadoop.yarn.server.resourcemanager.recovery.records.impl.pb,4,0.00,0.57,0.43
437,org.apache.hadoop.yarn.server.resourcemanager.reservation.exceptions,4,0.00,0.15,0.85
438,org.apache.hadoop.yarn.server.resourcemanager.rmapp.attempt.event,4,0.00,0.50,0.50
439,org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.policies,4,0.00,0.57,0.43
440,org.apache.hadoop.yarn.server.router.rmadmin,4,0.50,0.80,0.30
441,org.apache.hadoop.yarn.server.sharedcachemanager.store,4,0.25,0.44,0.31
442,org.apache.hadoop.yarn.server.sharedcachemanager.webapp,4,0.00,0.80,0.20
443,org.apache.hadoop.yarn.server.webproxy.amfilter,4,0.00,1.00,0.00
444,org.apache.hadoop.yarn.service.client,4,0.00,0.44,0.56
445,org.apache.hadoop.yarn.service.conf,4,0.75,0.09,0.16
446,org.apache.hadoop.yarn.service.provider.docker,4,0.25,0.75,0.00
447,org.apache.hadoop.yarn.submarine.common.api,4,0.00,0.17,0.83
448,org.apache.hadoop.yarn.submarine.runtimes.yarnservice,4,0.00,0.80,0.20
449,org.apache.hadoop.yarn.webapp.hamlet,4,0.00,1.00,0.00
450,org.apache.hadoop.yarn.webapp.hamlet2,4,0.00,0.04,0.96
451,org.apache.hadoop.fs.azurebfs.security,3,0.00,0.60,0.40
452,org.apache.hadoop.fs.azurebfs.utils,3,0.00,0.00,1.00
453,org.apache.hadoop.fs.http,3,0.00,1.00,0.00
454,org.apache.hadoop.fs.http.client,3,0.00,0.29,0.71
455,org.apache.hadoop.fs.local,3,0.00,0.75,0.25
456,org.apache.hadoop.fs.s3a.commit.magic,3,0.00,0.50,0.50
457,org.apache.hadoop.fs.sftp,3,0.00,1.00,0.00
458,org.apache.hadoop.hdds,3,0.00,0.10,0.90
459,org.apache.hadoop.hdds.scm.client,3,0.33,0.16,0.51
460,org.apache.hadoop.hdds.scm.storage,3,0.00,0.43,0.57
461,org.apache.hadoop.hdfs.security.token.delegation,3,0.00,0.09,0.91
462,org.apache.hadoop.hdfs.server.aliasmap,3,0.33,0.38,0.29
463,org.apache.hadoop.hdfs.server.common.blockaliasmap.impl,3,0.00,0.60,0.40
464,org.apache.hadoop.hdfs.server.federation.store.driver,3,1.00,0.05,0.05
465,org.apache.hadoop.ipc.metrics,3,0.00,0.60,0.40
466,org.apache.hadoop.mapred.uploader,3,0.00,1.00,0.00
467,org.apache.hadoop.mapreduce.lib.fieldsel,3,0.00,0.75,0.25
468,org.apache.hadoop.mapreduce.lib.reduce,3,0.00,0.38,0.62
469,org.apache.hadoop.mapreduce.security.token,3,0.00,0.17,0.83
470,org.apache.hadoop.mapreduce.security.token.delegation,3,0.00,0.38,0.62
471,org.apache.hadoop.mapreduce.split,3,0.00,0.25,0.75
472,org.apache.hadoop.maven.plugin.protoc,3,0.00,1.00,0.00
473,org.apache.hadoop.metrics2.filter,3,0.33,0.75,0.08
474,org.apache.hadoop.ozone.container.common.states.endpoint,3,0.00,0.75,0.25
475,org.apache.hadoop.ozone.container.common.transport.server,3,0.33,0.75,0.08
476,org.apache.hadoop.ozone.container.common.transport.server.ratis,3,0.00,0.75,0.25
477,org.apache.hadoop.ozone.lock,3,0.00,0.67,0.33
478,org.apache.hadoop.ozone.protocol,3,0.67,0.13,0.20
479,org.apache.hadoop.ozone.s3.exception,3,0.00,0.11,0.89
480,org.apache.hadoop.ozone.web.ozShell,3,0.33,0.14,0.53
481,org.apache.hadoop.resourceestimator.service,3,0.00,1.00,0.00
482,org.apache.hadoop.resourceestimator.skylinestore.api,3,1.00,0.20,0.20
483,org.apache.hadoop.resourceestimator.solver.exceptions,3,0.33,0.00,0.67
484,org.apache.hadoop.resourceestimator.translator.api,3,0.67,0.33,0.00
485,org.apache.hadoop.security.authentication.examples,3,0.00,1.00,0.00
486,org.apache.hadoop.security.http,3,0.00,0.25,0.75
487,org.apache.hadoop.streaming.mapreduce,3,0.33,1.00,0.33
488,org.apache.hadoop.tools.protocolPB,3,0.33,0.43,0.24
489,org.apache.hadoop.tools.rumen.anonymization,3,0.33,0.50,0.17
490,org.apache.hadoop.tools.rumen.datatypes.util,3,0.33,0.75,0.08
491,org.apache.hadoop.tools.rumen.state,3,0.33,0.17,0.50
492,org.apache.hadoop.util.hash,3,0.33,0.50,0.17
493,org.apache.hadoop.yarn.ams,3,0.67,0.22,0.11
494,org.apache.hadoop.yarn.api.resource,3,0.00,0.09,0.91
495,org.apache.hadoop.yarn.csi.client,3,0.33,1.00,0.33
496,org.apache.hadoop.yarn.factories,3,1.00,0.05,0.05
497,org.apache.hadoop.yarn.factories.impl.pb,3,0.00,0.75,0.25
498,org.apache.hadoop.yarn.ipc,3,0.33,0.05,0.61
499,org.apache.hadoop.yarn.nodelabels.store,3,0.67,0.25,0.08
500,org.apache.hadoop.yarn.server,3,0.00,0.50,0.50
501,org.apache.hadoop.yarn.server.federation.resolver,3,0.67,0.33,0.00
502,org.apache.hadoop.yarn.server.federation.store.exception,3,0.00,0.33,0.67
503,org.apache.hadoop.yarn.server.federation.store.impl,3,0.00,1.00,0.00
504,org.apache.hadoop.yarn.server.nodemanager.api,3,1.00,0.23,0.23
505,org.apache.hadoop.yarn.server.nodemanager.api.protocolrecords.impl.pb,3,0.00,0.60,0.40
506,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.privileged,3,0.00,0.10,0.90
507,org.apache.hadoop.yarn.server.nodemanager.timelineservice,3,0.00,0.20,0.80
508,org.apache.hadoop.yarn.server.resourcemanager.blacklist,3,0.33,0.50,0.17
509,org.apache.hadoop.yarn.server.resourcemanager.monitor,3,0.33,0.43,0.24
510,org.apache.hadoop.yarn.server.resourcemanager.resource,3,0.33,0.27,0.39
511,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.preemption,3,0.00,0.43,0.57
512,org.apache.hadoop.yarn.server.resourcemanager.scheduler.constraint.algorithm,3,0.00,0.50,0.50
513,org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.allocation,3,0.00,0.60,0.40
514,org.apache.hadoop.yarn.server.router,3,0.00,0.27,0.73
515,org.apache.hadoop.yarn.server.sharedcachemanager.metrics,3,0.00,0.33,0.67
516,org.apache.hadoop.yarn.server.timeline.recovery,3,0.33,0.60,0.07
517,org.apache.hadoop.yarn.server.timelineservice.reader.security,3,0.00,0.75,0.25
518,org.apache.hadoop.yarn.service.provider.defaultImpl,3,0.00,0.75,0.25
519,org.apache.hadoop.yarn.service.provider.tarball,3,0.00,0.75,0.25
520,org.apache.hadoop.yarn.sharedcache,3,0.33,0.60,0.07
521,org.apache.hadoop.yarn.sls,3,0.00,0.25,0.75
522,org.apache.hadoop.yarn.sls.appmaster,3,0.33,0.43,0.24
523,org.apache.hadoop.yarn.sls.synthetic,3,0.00,0.75,0.25
524,org.apache.hadoop.yarn.webapp.log,3,0.00,0.50,0.50
525,org.apache.hadoop,2,0.00,0.03,0.97
526,org.apache.hadoop.classification,2,0.00,0.00,1.00
527,org.apache.hadoop.crypto.random,2,0.00,0.67,0.33
528,org.apache.hadoop.fs.crypto,2,0.00,0.67,0.33
529,org.apache.hadoop.fs.s3native,2,0.00,0.40,0.60
530,org.apache.hadoop.hdds.conf,2,0.00,0.04,0.96
531,org.apache.hadoop.hdds.protocol,2,0.00,0.02,0.98
532,org.apache.hadoop.hdfs.client.impl.metrics,2,0.00,0.67,0.33
533,org.apache.hadoop.hdfs.nfs.conf,2,0.00,0.08,0.92
534,org.apache.hadoop.hdfs.nfs.mount,2,0.00,0.67,0.33
535,org.apache.hadoop.hdfs.server.diskbalancer,2,0.00,0.07,0.93
536,org.apache.hadoop.hdfs.server.namenode.top,2,0.00,0.50,0.50
537,org.apache.hadoop.hdfs.server.namenode.top.window,2,0.00,0.40,0.60
538,org.apache.hadoop.hdfs.tools.snapshot,2,0.00,0.67,0.33
539,org.apache.hadoop.io.compress.lz4,2,0.00,0.67,0.33
540,org.apache.hadoop.io.compress.snappy,2,0.00,0.50,0.50
541,org.apache.hadoop.io.compress.zstd,2,0.00,0.67,0.33
542,org.apache.hadoop.lib.lang,2,0.00,0.33,0.67
543,org.apache.hadoop.lib.util,2,0.50,0.22,0.28
544,org.apache.hadoop.mapred.jobcontrol,2,0.00,0.50,0.50
545,org.apache.hadoop.mapreduce.filecache,2,0.00,0.14,0.86
546,org.apache.hadoop.mapreduce.lib.jobcontrol,2,0.00,0.33,0.67
547,org.apache.hadoop.mapreduce.protocol,2,1.00,0.22,0.22
548,org.apache.hadoop.mapreduce.security,2,0.00,0.10,0.90
549,org.apache.hadoop.mapreduce.v2.api.impl.pb.client,2,0.00,1.00,0.00
550,org.apache.hadoop.mapreduce.v2.api.impl.pb.service,2,0.00,1.00,0.00
551,org.apache.hadoop.mapreduce.v2.app.client,2,0.50,0.25,0.25
552,org.apache.hadoop.mapreduce.v2.app.security.authorize,2,0.00,0.33,0.67
553,org.apache.hadoop.mapreduce.v2.hs.protocolPB,2,0.00,0.50,0.50
554,org.apache.hadoop.mapreduce.v2.security.client,2,0.00,1.00,0.00
555,org.apache.hadoop.maven.plugin.cmakebuilder,2,0.00,1.00,0.00
556,org.apache.hadoop.maven.plugin.util,2,0.00,0.29,0.71
557,org.apache.hadoop.metrics2.annotation,2,0.00,0.04,0.96
558,org.apache.hadoop.metrics2.source,2,0.00,0.10,0.90
559,org.apache.hadoop.minikdc,2,0.00,1.00,0.00
560,org.apache.hadoop.net.unix,2,0.00,0.12,0.88
561,org.apache.hadoop.ozone.common.statemachine,2,0.00,0.00,1.00
562,org.apache.hadoop.ozone.container.common.states.datanode,2,0.00,1.00,0.00
563,org.apache.hadoop.ozone.container.common.utils,2,0.00,0.29,0.71
564,org.apache.hadoop.ozone.container.keyvalue.impl,2,0.00,0.50,0.50
565,org.apache.hadoop.ozone.container.keyvalue.interfaces,2,1.00,0.40,0.40
566,org.apache.hadoop.ozone.container.ozoneimpl,2,0.00,0.20,0.80
567,org.apache.hadoop.ozone.om.protocolPB,2,0.50,0.25,0.25
568,org.apache.hadoop.ozone.web,2,0.00,0.67,0.33
569,org.apache.hadoop.ozone.web.messages,2,0.00,0.67,0.33
570,org.apache.hadoop.ozone.web.utils,2,0.00,0.04,0.96
571,org.apache.hadoop.registry.client.impl,2,0.00,0.67,0.33
572,org.apache.hadoop.registry.client.types.yarn,2,0.50,0.17,0.33
573,org.apache.hadoop.resourceestimator.common.api,2,0.00,0.08,0.92
574,org.apache.hadoop.resourceestimator.common.config,2,0.00,0.25,0.75
575,org.apache.hadoop.resourceestimator.common.serialization,2,0.00,0.67,0.33
576,org.apache.hadoop.resourceestimator.solver.impl,2,0.50,0.67,0.17
577,org.apache.hadoop.util.curator,2,0.00,0.22,0.78
578,org.apache.hadoop.yarn.api.pb,2,0.00,0.50,0.50
579,org.apache.hadoop.yarn.client.api.async,2,1.00,0.25,0.25
580,org.apache.hadoop.yarn.client.api.async.impl,2,0.00,0.40,0.60
581,org.apache.hadoop.yarn.factory.providers,2,0.00,0.04,0.96
582,org.apache.hadoop.yarn.logaggregation.filecontroller.ifile,2,0.00,0.67,0.33
583,org.apache.hadoop.yarn.logaggregation.filecontroller.tfile,2,0.00,0.67,0.33
584,org.apache.hadoop.yarn.server.federation.failover,2,0.00,0.50,0.50
585,org.apache.hadoop.yarn.server.federation.utils,2,0.00,0.15,0.85
586,org.apache.hadoop.yarn.server.nodemanager.api.impl.pb,2,0.00,0.50,0.50
587,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.resources.fpga,2,0.00,0.29,0.71
588,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.resources.gpu,2,0.00,0.50,0.50
589,org.apache.hadoop.yarn.server.nodemanager.containermanager.loghandler,2,0.50,0.50,0.00
590,org.apache.hadoop.yarn.server.nodemanager.security,2,0.00,0.33,0.67
591,org.apache.hadoop.yarn.server.resourcemanager.federation,2,0.00,0.67,0.33
592,org.apache.hadoop.yarn.server.resourcemanager.rmapp.monitor,2,0.00,0.33,0.67
593,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.policy,2,0.50,0.40,0.10
594,org.apache.hadoop.yarn.server.resourcemanager.scheduler.common.fica,2,0.00,0.07,0.93
595,org.apache.hadoop.yarn.server.resourcemanager.scheduler.constraint.algorithm.iterators,2,0.00,0.67,0.33
596,org.apache.hadoop.yarn.server.resourcemanager.scheduler.distributed,2,0.00,0.29,0.71
597,org.apache.hadoop.yarn.server.resourcemanager.scheduler.fifo,2,0.00,0.25,0.75
598,org.apache.hadoop.yarn.server.security.http,2,0.00,0.67,0.33
599,org.apache.hadoop.yarn.server.timeline.webapp,2,0.00,0.50,0.50
600,org.apache.hadoop.yarn.server.timelineservice.metrics,2,0.00,0.50,0.50
601,org.apache.hadoop.yarn.server.timelineservice.security,2,0.00,0.67,0.33
602,org.apache.hadoop.yarn.server.uam,2,0.00,0.50,0.50
603,org.apache.hadoop.yarn.service.impl.pb.service,2,0.50,0.50,0.00
604,org.apache.hadoop.yarn.service.monitor,2,0.00,0.50,0.50
605,org.apache.hadoop.yarn.service.registry,2,0.00,0.33,0.67
606,org.apache.hadoop.yarn.service.webapp,2,0.00,1.00,0.00
607,org.apache.hadoop.yarn.sls.nodemanager,2,0.00,0.67,0.33
608,org.apache.hadoop.yarn.submarine.common,2,0.00,0.06,0.94
609,org.apache.hadoop.yarn.submarine.common.api.builder,2,0.00,0.67,0.33
610,org.apache.hadoop.yarn.submarine.common.conf,2,0.00,0.17,0.83
611,org.apache.hadoop.yarn.submarine.common.exception,2,0.00,0.00,1.00
612,org.apache.hadoop.yarn.submarine.common.fs,2,0.50,0.33,0.17
613,org.apache.hadoop.yarn.util.constraint,2,0.00,0.33,0.67
614,org.apache.hadoop.yarn.webapp.dao,2,0.00,0.00,1.00
615,org.apache.hadoop.yarn.webapp.example,2,0.00,1.00,0.00
616,org.apache.hadoop.yarn.webapp.util,2,0.00,0.05,0.95
617,org.apache.hadoop.filecache,1,0.00,1.00,0.00
618,org.apache.hadoop.fs.adl.oauth2,1,1.00,0.33,0.33
619,org.apache.hadoop.fs.azurebfs.contracts.annotations,1,0.00,0.50,0.50
620,org.apache.hadoop.fs.azurebfs.contracts.diagnostics,1,1.00,0.17,0.17
621,org.apache.hadoop.fs.protocolPB,1,0.00,0.50,0.50
622,org.apache.hadoop.fs.store,1,0.00,0.50,0.50
623,org.apache.hadoop.hdds.scm.cli,1,0.00,0.17,0.83
624,org.apache.hadoop.hdds.scm.command,1,0.00,0.20,0.80
625,org.apache.hadoop.hdds.scm.events,1,0.00,0.06,0.94
626,org.apache.hadoop.hdds.scm.exceptions,1,0.00,0.00,1.00
627,org.apache.hadoop.hdfs.server.common.blockaliasmap,1,1.00,0.10,0.10
628,org.apache.hadoop.hdfs.server.federation.utils,1,0.00,0.50,0.50
629,org.apache.hadoop.hdfs.server.mover,1,0.00,1.00,0.00
630,org.apache.hadoop.hdfs.server.namenode.top.metrics,1,0.00,0.33,0.67
631,org.apache.hadoop.hdfs.server.namenode.web.resources,1,0.00,0.33,0.67
632,org.apache.hadoop.hdfs.tools.federation,1,0.00,1.00,0.00
633,org.apache.hadoop.http.lib,1,0.00,0.33,0.67
634,org.apache.hadoop.io.erasurecode.coder.util,1,0.00,0.33,0.67
635,org.apache.hadoop.io.erasurecode.grouper,1,0.00,0.50,0.50
636,org.apache.hadoop.jmx,1,0.00,0.50,0.50
637,org.apache.hadoop.lib.service.hadoop,1,0.00,1.00,0.00
638,org.apache.hadoop.lib.service.instrumentation,1,0.00,1.00,0.00
639,org.apache.hadoop.lib.service.scheduler,1,0.00,1.00,0.00
640,org.apache.hadoop.lib.service.security,1,0.00,1.00,0.00
641,org.apache.hadoop.log.metrics,1,0.00,0.50,0.50
642,org.apache.hadoop.mapred.tools,1,0.00,1.00,0.00
643,org.apache.hadoop.mapreduce.server.jobtracker,1,1.00,0.14,0.14
644,org.apache.hadoop.mapreduce.server.tasktracker,1,1.00,0.17,0.17
645,org.apache.hadoop.mapreduce.task.annotation,1,0.00,0.33,0.67
646,org.apache.hadoop.mapreduce.tools,1,0.00,0.50,0.50
647,org.apache.hadoop.mapreduce.v2,1,0.00,0.00,1.00
648,org.apache.hadoop.mapreduce.v2.app.local,1,0.00,0.50,0.50
649,org.apache.hadoop.mapreduce.v2.app.metrics,1,0.00,0.17,0.83
650,org.apache.hadoop.mapreduce.v2.hs.client,1,0.00,1.00,0.00
651,org.apache.hadoop.mapreduce.v2.hs.server,1,0.00,0.50,0.50
652,org.apache.hadoop.mapreduce.v2.security,1,0.00,1.00,0.00
653,org.apache.hadoop.maven.plugin.paralleltests,1,0.00,1.00,0.00
654,org.apache.hadoop.maven.plugin.resourcegz,1,0.00,1.00,0.00
655,org.apache.hadoop.maven.plugin.shade.resource,1,0.00,1.00,0.00
656,org.apache.hadoop.maven.plugin.versioninfo,1,0.00,1.00,0.00
657,org.apache.hadoop.ozone.client.protocol,1,1.00,0.11,0.11
658,org.apache.hadoop.ozone.client.rest.headers,1,0.00,0.07,0.93
659,org.apache.hadoop.ozone.client.rpc,1,0.00,0.50,0.50
660,org.apache.hadoop.ozone.container.common,1,0.00,0.00,1.00
661,org.apache.hadoop.ozone.container.common.states,1,1.00,0.00,0.00
662,org.apache.hadoop.ozone.container.keyvalue.statemachine.background,1,0.00,1.00,0.00
663,org.apache.hadoop.ozone.genconf,1,0.00,1.00,0.00
664,org.apache.hadoop.ozone.om.exceptions,1,0.00,0.00,1.00
665,org.apache.hadoop.ozone.om.protocol,1,1.00,0.25,0.25
666,org.apache.hadoop.ozone.scm.cli,1,0.00,1.00,0.00
667,org.apache.hadoop.ozone.util,1,0.00,1.00,0.00
668,org.apache.hadoop.ozone.web.exceptions,1,0.00,0.11,0.89
669,org.apache.hadoop.ozone.web.request,1,0.00,0.25,0.75
670,org.apache.hadoop.ozone.web.storage,1,0.00,0.50,0.50
671,org.apache.hadoop.ozone.web.userauth,1,0.00,0.50,0.50
672,org.apache.hadoop.registry.cli,1,0.00,1.00,0.00
673,org.apache.hadoop.registry.conf,1,0.00,0.33,0.67
674,org.apache.hadoop.registry.server.integration,1,0.00,1.00,0.00
675,org.apache.hadoop.resourceestimator.common.exception,1,0.00,0.00,1.00
676,org.apache.hadoop.resourceestimator.skylinestore.impl,1,0.00,0.50,0.50
677,org.apache.hadoop.resourceestimator.skylinestore.validator,1,0.00,0.50,0.50
678,org.apache.hadoop.resourceestimator.solver.api,1,1.00,0.25,0.25
679,org.apache.hadoop.resourceestimator.solver.preprocess,1,0.00,0.50,0.50
680,org.apache.hadoop.resourceestimator.translator.exceptions,1,0.00,0.00,1.00
681,org.apache.hadoop.resourceestimator.translator.validator,1,0.00,0.50,0.50
682,org.apache.hadoop.yarn.api.records.impl,1,0.00,0.33,0.67
683,org.apache.hadoop.yarn.applications.unmanagedamlauncher,1,0.00,1.00,0.00
684,org.apache.hadoop.yarn.client.util,1,1.00,0.17,0.17
685,org.apache.hadoop.yarn.csi.utils,1,0.00,0.00,1.00
686,org.apache.hadoop.yarn.lib,1,0.00,1.00,0.00
687,org.apache.hadoop.yarn.proto,1,1.00,0.02,0.02
688,org.apache.hadoop.yarn.security.admin,1,0.00,1.00,0.00
689,org.apache.hadoop.yarn.server.federation.policies.dao,1,0.00,0.11,0.89
690,org.apache.hadoop.yarn.server.federation.store.metrics,1,0.00,0.50,0.50
691,org.apache.hadoop.yarn.server.nodemanager.api.impl.pb.client,1,0.00,1.00,0.00
692,org.apache.hadoop.yarn.server.nodemanager.api.impl.pb.service,1,0.00,1.00,0.00
693,org.apache.hadoop.yarn.server.nodemanager.collectormanager,1,0.00,0.50,0.50
694,org.apache.hadoop.yarn.server.nodemanager.containermanager.deletion.recovery,1,0.00,0.33,0.67
695,org.apache.hadoop.yarn.server.nodemanager.logaggregation.tracker,1,0.00,0.33,0.67
696,org.apache.hadoop.yarn.server.nodemanager.metrics,1,0.00,0.09,0.91
697,org.apache.hadoop.yarn.server.nodemanager.scheduler,1,0.00,0.50,0.50
698,org.apache.hadoop.yarn.server.nodemanager.security.authorize,1,0.00,0.25,0.75
699,org.apache.hadoop.yarn.server.records,1,1.00,0.04,0.04
700,org.apache.hadoop.yarn.server.records.impl.pb,1,0.00,0.08,0.92
701,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacit,1,0.00,1.00,0.00
702,org.apache.hadoop.yarn.server.resourcemanager.security.authorize,1,0.00,0.20,0.80
703,org.apache.hadoop.yarn.server.resourcemanager.timelineservice,1,0.00,0.17,0.83
704,org.apache.hadoop.yarn.server.service,1,1.00,0.00,0.00
705,org.apache.hadoop.yarn.server.sharedcache,1,0.00,0.20,0.80
706,org.apache.hadoop.yarn.server.timeline.recovery.records,1,0.00,0.50,0.50
707,org.apache.hadoop.yarn.server.timeline.security.authorize,1,0.00,0.50,0.50
708,org.apache.hadoop.yarn.server.timeline.util,1,0.00,0.20,0.80
709,org.apache.hadoop.yarn.server.timelineservice,1,0.00,0.00,1.00
710,org.apache.hadoop.yarn.server.util.timeline,1,0.00,0.25,0.75
711,org.apache.hadoop.yarn.service.api,1,1.00,0.33,0.33
712,org.apache.hadoop.yarn.service.impl.pb.client,1,0.00,1.00,0.00
713,org.apache.hadoop.yarn.sls.conf,1,0.00,0.17,0.83
714,org.apache.hadoop.yarn.sls.resourcemanager,1,0.00,0.50,0.50
715,org.apache.hadoop.yarn.sls.utils,1,0.00,0.20,0.80
716,org.apache.hadoop.yarn.sls.web,1,0.00,0.50,0.50
717,org.apache.hadoop.yarn.submarine.runtimes,1,1.00,0.25,0.25
718,org.apache.hadoop.yarn.util.timeline,1,0.00,0.06,0.94
719,org.apache.ratis,1,1.00,0.33,0.33
