id,package,NC,A,I,D
85,org.apache.hadoop.examples,17,0.00,1.00,0.00
86,org.apache.hadoop.fs.s3a.commit,17,0.12,0.48,0.40
87,org.apache.hadoop.fs.s3a.s3guard,17,0.24,0.94,0.17
88,org.apache.hadoop.hdfs.server.datanode.fsdataset.impl,17,0.12,0.68,0.20
89,org.apache.hadoop.hdfs.server.namenode.ha,17,0.18,0.63,0.19
90,org.apache.hadoop.hdfs.tools,17,0.00,0.65,0.35
91,org.apache.hadoop.io.erasurecode.coder,17,0.29,0.74,0.03
92,org.apache.hadoop.mapred.lib.aggregate,17,0.18,0.94,0.12
93,org.apache.hadoop.mapred.nativetask.serde,17,0.12,0.68,0.20
94,org.apache.hadoop.mapreduce.lib.aggregate,17,0.12,0.89,0.01
95,org.apache.hadoop.metrics2,17,0.71,0.13,0.16
96,org.apache.hadoop.oncrpc,17,0.18,0.07,0.75
97,org.apache.hadoop.yarn.server.nodemanager.webapp,17,0.00,0.84,0.16
98,org.apache.hadoop.yarn.server.resourcemanager.monitor.capacity,17,0.12,0.74,0.14
99,org.apache.hadoop.crypto.key.kms.server,16,0.00,0.76,0.24
100,org.apache.hadoop.hdfs.protocol.datatransfer,16,0.19,0.29,0.52
101,org.apache.hadoop.mapred.join,16,0.38,1.00,0.38
102,org.apache.hadoop.mapreduce.lib.join,16,0.38,0.94,0.32
103,org.apache.hadoop.utils,16,0.38,0.19,0.44
104,org.apache.hadoop.yarn.security,16,0.06,0.16,0.77
105,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.event,16,0.00,0.64,0.36
106,org.apache.hadoop.yarn.server.resourcemanager.scheduler.event,16,0.00,0.43,0.57
107,org.apache.hadoop.yarn.webapp.view,16,0.25,0.18,0.57
108,org.apache.hadoop.lib.wsrs,15,0.60,0.79,0.39
109,org.apache.hadoop.yarn.server.resourcemanager.reservation.planning,15,0.33,0.79,0.12
110,org.apache.hadoop.yarn.server.resourcemanager.rmnode,15,0.07,0.24,0.69
111,org.apache.hadoop.conf,14,0.21,0.01,0.78
112,org.apache.hadoop.crypto,14,0.29,0.33,0.38
113,org.apache.hadoop.fs.permission,14,0.00,0.06,0.94
114,org.apache.hadoop.hdfs.server.common,14,0.29,0.07,0.64
115,org.apache.hadoop.ozone.web.handlers,14,0.21,0.55,0.24
116,org.apache.hadoop.yarn.client.api.impl,14,0.07,0.47,0.46
117,org.apache.hadoop.fs.aliyun.oss,13,0.08,1.00,0.08
118,org.apache.hadoop.fs.azurebfs.contracts.exceptions,13,0.08,0.41,0.52
119,org.apache.hadoop.hdds.scm.container,13,0.08,0.24,0.68
120,org.apache.hadoop.hdds.scm.node,13,0.23,0.48,0.29
121,org.apache.hadoop.hdds.scm.pipeline,13,0.15,0.26,0.59
122,org.apache.hadoop.hdfs.nfs.nfs3,13,0.00,0.79,0.21
123,org.apache.hadoop.hdfs.server.federation.resolver,13,0.31,0.24,0.45
124,org.apache.hadoop.io.file.tfile,13,0.08,0.42,0.50
125,org.apache.hadoop.io.retry,13,0.15,0.12,0.72
126,org.apache.hadoop.ozone.client,13,0.00,0.26,0.74
127,org.apache.hadoop.security.token.delegation.web,13,0.15,0.32,0.53
128,org.apache.hadoop.yarn.nodelabels,13,0.38,0.18,0.43
129,org.apache.hadoop.yarn.security.client,13,0.15,0.24,0.61
130,org.apache.hadoop.yarn.server.applicationhistoryservice.webapp,13,0.00,0.93,0.07
131,org.apache.hadoop.yarn.service,13,0.15,0.50,0.35
132,org.apache.hadoop.fs.swift.exceptions,12,0.00,0.27,0.73
133,org.apache.hadoop.fs.viewfs,12,0.08,0.71,0.21
134,org.apache.hadoop.hdfs.server.federation.store,12,0.58,0.31,0.10
135,org.apache.hadoop.registry.server.dns,12,0.25,0.80,0.05
136,org.apache.hadoop.security.authentication.server,12,0.25,0.35,0.40
137,org.apache.hadoop.yarn.api,12,1.00,0.06,0.06
138,org.apache.hadoop.yarn.client.api,12,0.75,0.22,0.03
139,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.docker,12,0.08,0.56,0.36
140,org.apache.hadoop.yarn.server.resourcemanager.rmcontainer,12,0.08,0.12,0.80
141,org.apache.hadoop.yarn.server.resourcemanager.scheduler.placement,12,0.25,0.37,0.38
142,org.apache.hadoop.yarn.sls.scheduler,12,0.17,0.67,0.17
143,org.apache.hadoop.examples.terasort,11,0.00,0.91,0.09
144,org.apache.hadoop.fs.swift.auth,11,0.00,0.33,0.67
145,org.apache.hadoop.hdds.scm.server,11,0.18,0.46,0.36
146,org.apache.hadoop.hdfs.server.datanode.erasurecode,11,0.09,0.85,0.06
147,org.apache.hadoop.hdfs.server.namenode.sps,11,0.45,0.48,0.07
148,org.apache.hadoop.hdfs.web,11,0.09,0.28,0.63
149,org.apache.hadoop.http,11,0.27,0.08,0.65
150,org.apache.hadoop.mapreduce.v2.api.records.impl.pb,11,0.00,0.39,0.61
151,org.apache.hadoop.ozone.container.replication,11,0.27,0.62,0.11
152,org.apache.hadoop.ozone.om.helpers,11,0.00,0.31,0.69
153,org.apache.hadoop.ozone.s3,11,0.00,0.78,0.22
154,org.apache.hadoop.ozone.s3.endpoint,11,0.00,0.78,0.22
155,org.apache.hadoop.security.authentication.util,11,0.18,0.36,0.46
156,org.apache.hadoop.streaming.io,11,0.18,0.71,0.10
157,org.apache.hadoop.tools.rumen.datatypes,11,0.27,0.30,0.43
158,org.apache.hadoop.yarn.client,11,0.09,0.28,0.63
159,org.apache.hadoop.yarn.server.applicationhistoryservice,11,0.36,0.85,0.21
160,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer,11,0.00,0.24,0.76
161,org.apache.hadoop.yarn.server.nodemanager.containermanager.logaggregation,11,0.18,0.85,0.03
162,org.apache.hadoop.yarn.server.resourcemanager.rmapp,11,0.09,0.15,0.76
163,org.apache.hadoop.crypto.key,10,0.40,0.20,0.40
164,org.apache.hadoop.fs.shell.find,10,0.30,0.90,0.20
165,org.apache.hadoop.hdds.scm,10,0.10,0.16,0.74
166,org.apache.hadoop.hdds.server.events,10,0.60,0.11,0.29
167,org.apache.hadoop.hdfs.client.impl,10,0.00,0.36,0.64
168,org.apache.hadoop.hdfs.net,10,0.20,0.31,0.49
169,org.apache.hadoop.hdfs.qjournal.client,10,0.00,0.75,0.25
170,org.apache.hadoop.hdfs.qjournal.server,10,0.10,0.77,0.13
171,org.apache.hadoop.hdfs.server.datanode.fsdataset,10,0.40,0.16,0.44
172,org.apache.hadoop.hdfs.server.namenode.startupprogress,10,0.00,0.33,0.67
173,org.apache.hadoop.hdfs.tools.offlineEditsViewer,10,0.00,0.75,0.25
174,org.apache.hadoop.io.erasurecode,10,0.00,0.12,0.88
175,org.apache.hadoop.mapred.pipes,10,0.00,1.00,0.00
176,org.apache.hadoop.mapreduce.counters,10,0.70,0.67,0.37
177,org.apache.hadoop.mapreduce.v2.app.rm,10,0.40,0.57,0.03
178,org.apache.hadoop.mapreduce.v2.app.speculate,10,0.20,0.82,0.02
179,org.apache.hadoop.oncrpc.security,10,0.40,0.21,0.39
180,org.apache.hadoop.ozone.container.common.interfaces,10,1.00,0.26,0.26
181,org.apache.hadoop.ozone.protocol.commands,10,0.10,0.33,0.57
182,org.apache.hadoop.record,10,0.50,0.67,0.17
183,org.apache.hadoop.registry.client.impl.zk,10,0.50,0.53,0.03
184,org.apache.hadoop.security.authorize,10,0.30,0.09,0.61
185,org.apache.hadoop.security.token,10,0.60,0.04,0.36
186,org.apache.hadoop.service.launcher,10,0.40,0.82,0.22
187,org.apache.hadoop.utils.db,10,0.30,0.62,0.08
188,org.apache.hadoop.yarn.api.records.timeline,10,0.00,0.22,0.78
189,org.apache.hadoop.yarn.client.cli,10,0.10,0.91,0.01
190,org.apache.hadoop.yarn.logaggregation,10,0.00,0.25,0.75
191,org.apache.hadoop.yarn.server.nodemanager.containermanager.application,10,0.10,0.24,0.66
